imsi_prefix,date,Incoming data,Outgoing data,cdrs
40585-IDEA WEST BENGAL-INDIW,11-05-2018,32,11,9
41001-Mobilink-PAKMK,11-05-2018,0,0,2
41301-Mobitel - Sri Lanka-LKA71,11-05-2018,30,6,31
41302-MTN Sri Lanka-LKADG,11-05-2018,4083,752,960
41305-Bharti Airtel Lanka-LKAAT,11-05-2018,0,0,2
41501-FTML Lebanon-LBNFL,11-05-2018,4,0,1
41503-Libancell -LBNLC,11-05-2018,12,3,7
41677-Mobilecom -JORMC,11-05-2018,0,0,1
41805-Asiacell - Iraq-IRQAC,11-05-2018,1,1,4
41820-Atheer - Iraq-IRQAT,11-05-2018,0,0,1
41903-Wataniya Telecom-KWTNM,11-05-2018,6064,3056,429
41904-Viva Kuwait -KWTKT,11-05-2018,152,42,27
42001-Saudi Telephone Company-SAUAJ,11-05-2018,23856,6831,2096
42003-Etihad Etisalat - Saudi Arabia-SAUET,11-05-2018,52401,12537,2043
42202-GTO Oman-OMNGT,11-05-2018,357,63,37
42203-Oman Mobile - Oman-OMNNT,11-05-2018,34,1,7
42402-Etisalat-ARETC,11-05-2018,24702,6211,3239
42403-United Arab Emirates-AREDU,11-05-2018,4838,905,1110
42501-Partner Communication-ISR01,11-05-2018,34126,13229,51364
42502-Cellcom-ISRCL,11-05-2018,9418,3054,1125
42503-Pelephone, Israel-ISRPL,11-05-2018,294,96,170
42601-Bahrain Telecommunications-BHRBT,11-05-2018,57,23,22
42701-Qatar Telekom -QATQT,11-05-2018,83996,15713,5213
43211-Iran TeleCom Co-IRN11,11-05-2018,102,29,87
44010-NTT DoCoMo-JPNDO,11-05-2018,7380,1474,2064
44020-J-Phone-JPNJP,11-05-2018,486,111,125
44050-KDDI-JPNKD,11-05-2018,3956,670,365
44051-KDDI Japan-JPNKI,11-05-2018,514,137,162
45005-SK Korea-KORSK,11-05-2018,6284,1211,3044
45006-LG U+ South Korea-KORLU,11-05-2018,4280,952,475
45008-KT Freetel 3G-KORKF,11-05-2018,2813,1395,633
45400-Hong Kong CSL -HKGTC,11-05-2018,6407,1154,575
45403-Hutchison 3G (Hong Kong)-HKGH3,11-05-2018,70,106,59
45406-SmarTone Mobile Hong Kong-HKGSM,11-05-2018,17569,4181,1628
45412-Peoples Telephone Company -HKGPP,11-05-2018,3048,488,162
45419-Sunday 3G - Hong Kong-HKGM3,11-05-2018,761,127,80
46000-China Telecom-CHNCT,11-05-2018,57209,19198,5671
46001-China Unicom-CHNCU,11-05-2018,12828,5719,2711
46002-China Mobile - China-CHNCM,11-05-2018,7661,1974,915
46007-China Mobile 3rd-CHNTD,11-05-2018,907,250,318
46601-Far EasTone Telecommunications-TWNFE,11-05-2018,56,8,7
46692-Chungwa Telecom LDM-TWNLD,11-05-2018,3670,760,220
