imsi_prefix,date,Incoming data,Outgoing data,cdrs
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,28-05-2018,11394,4701,10744
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,28-05-2018,1654,223,293
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,28-05-2018,978,242,371
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,28-05-2018,1110,151,120
40496-Airtel Bharti [Haryana]-INDA5,28-05-2018,45,11,72
40497-Airtel Bharti [UP West] INDA6 - -INDA6,28-05-2018,375,165,117
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,28-05-2018,987,323,220
40556-Bharti Airtel Assam India-IND15,28-05-2018,5,2,25
40579-Idea Cellular Mumbai -INDIM,28-05-2018,92,28,24
41001-Mobilink-PAKMK,28-05-2018,0,0,6
41220-TDCA-AFGTD,28-05-2018,0,0,11
41301-Mobitel - Sri Lanka-LKA71,28-05-2018,369,62,36
41302-MTN Sri Lanka-LKADG,28-05-2018,2244,594,2127
41305-Bharti Airtel Lanka-LKAAT,28-05-2018,1,1,21
41501-FTML Lebanon-LBNFL,28-05-2018,4,2,5
41503-Libancell -LBNLC,28-05-2018,0,0,1
41677-Mobilecom -JORMC,28-05-2018,0,0,1
41805-Asiacell - Iraq-IRQAC,28-05-2018,1,0,11
41820-Atheer - Iraq-IRQAT,28-05-2018,0,0,2
41903-Wataniya Telecom-KWTNM,28-05-2018,1673,471,189
42001-Saudi Telephone Company-SAUAJ,28-05-2018,11707,2263,1281
42003-Etihad Etisalat - Saudi Arabia-SAUET,28-05-2018,23927,4407,1216
42202-GTO Oman-OMNGT,28-05-2018,22,3,26
42203-Oman Mobile - Oman-OMNNT,28-05-2018,40,8,21
42402-Etisalat-ARETC,28-05-2018,15073,3488,2794
42403-United Arab Emirates-AREDU,28-05-2018,2432,791,1038
42501-Partner Communication-ISR01,28-05-2018,37280,13824,36771
42502-Cellcom-ISRCL,28-05-2018,13038,3274,1481
42503-Pelephone, Israel-ISRPL,28-05-2018,607,264,190
42601-Bahrain Telecommunications-BHRBT,28-05-2018,329,42,48
42701-Qatar Telekom -QATQT,28-05-2018,26719,5925,2718
43211-Iran TeleCom Co-IRN11,28-05-2018,61,40,47
44010-NTT DoCoMo-JPNDO,28-05-2018,8124,1212,2931
44020-J-Phone-JPNJP,28-05-2018,836,304,278
44050-KDDI-JPNKD,28-05-2018,2268,721,356
44051-KDDI Japan-JPNKI,28-05-2018,3140,769,319
45005-SK Korea-KORSK,28-05-2018,11139,2796,3165
45006-LG U+ South Korea-KORLU,28-05-2018,5353,1704,700
45008-KT Freetel 3G-KORKF,28-05-2018,3002,862,738
45202-GPC Vietnam-VNMVI,28-05-2018,0,0,10
45400-Hong Kong CSL -HKGTC,28-05-2018,8284,1791,849
45403-Hutchison 3G (Hong Kong)-HKGH3,28-05-2018,3078,545,315
45406-SmarTone Mobile Hong Kong-HKGSM,28-05-2018,26234,7009,2296
45412-Peoples Telephone Company -HKGPP,28-05-2018,3231,958,214
45419-Sunday 3G - Hong Kong-HKGM3,28-05-2018,985,256,158
46000-China Telecom-CHNCT,28-05-2018,84414,31746,11055
46001-China Unicom-CHNCU,28-05-2018,16708,6068,3522
46002-China Mobile - China-CHNCM,28-05-2018,9685,2304,1241
46007-China Mobile 3rd-CHNTD,28-05-2018,2427,727,263
46601-Far EasTone Telecommunications-TWNFE,28-05-2018,9,8,8
46692-Chungwa Telecom LDM-TWNLD,28-05-2018,2059,775,253
46697-Taiwan Cellular Corp-TWNPC,28-05-2018,1558,172,122
50216-DiGi Telecommunications -MYSMT,28-05-2018,11619,2898,7186
50219-Celcom-MYSCC,28-05-2018,16,4,8
50501-Telstra -AUSTA,28-05-2018,121468,36148,35231
50502-Optus Communications-AUSOP,28-05-2018,27821,8172,16993
51001-PT Satelindo Palapa-IDNSL,28-05-2018,20,6,37
51010-PT Telkomsel-IDNTS,28-05-2018,2190,634,399
51502-Globe Telecom -PHLGT,28-05-2018,1330,180,48
52000-Thailand, True Move-THACT,28-05-2018,100,22,42
52003-AIS-THAWN,28-05-2018,191219,43222,11600
52005-Thailand DTAC-THADT,28-05-2018,1666,492,272
52501-Singtel GSM 900-SGPST,28-05-2018,47740,12647,5377
52505-StarHub-SGPSH,28-05-2018,4152,988,511
52811-DST Communications-BRNDS,28-05-2018,10,2,9
53001-Vodafone New Zealand-NZLBS,28-05-2018,1040,243,427
53005-Telecom-NZLTM,28-05-2018,17273,5727,4990
53024-NZ Communications-NZLNH,28-05-2018,923,293,426
60201-Mobilnil-EGYAR,28-05-2018,2824,835,756
60203-Etisalat - Egypt-EGYEM,28-05-2018,122,151,37
60303-Wataniya-DZAWT,28-05-2018,0,0,1
60400-Medi Telecom-MARMT,28-05-2018,96,59,397
60401-IAM-MARM1,28-05-2018,0,0,11
60402-Wana Morocco-MARM3,28-05-2018,0,0,3
61203-Orange Cote d'Ivoire-CIV03,28-05-2018,0,0,2
61701-Cellplus Mobile Communications-MUSCP,28-05-2018,12,14,19
62001-Scancom -GHASC,28-05-2018,427,176,171
62006-Airtel Ghana-GHAZN,28-05-2018,0,3,112
62130-MTN-NGAMN,28-05-2018,970,779,4045
62150-Globacom - Nigeria-NGAGM,28-05-2018,87,16,18
62160-Etisalat Nigeria-NGAEM,28-05-2018,520,137,13705
62803-Celtel Gabon-GABCT,28-05-2018,104,47,7
63102-Unitel-AGOUT,28-05-2018,0,1,13
63301-Cable & Wireless-SYCCW,28-05-2018,11,1,5
63510-Rwandacell - Rwanda-RWAMN,28-05-2018,0,3,33
63902-Safaricom -KENSA,28-05-2018,52,17,231
64101-Celtel Uganda-UGACE,28-05-2018,0,3,370
64110-MTN-UGAMN,28-05-2018,0,0,1
64114-Orange-UGAOR,28-05-2018,0,0,1
64501-Celtel Zambia-ZMBCE,28-05-2018,0,0,1
64602-SMM - Madagascar-MDGAN,28-05-2018,0,1,49
64804-Econet-ZWEET,28-05-2018,83,101,113
65202-Orange Botswana-BWAVC,28-05-2018,3,1,8
65501-Vodacom South Africa-ZAFVC,28-05-2018,32,1,4
65507-Cell C-ZAFCC,28-05-2018,1,0,5
65510-MTN South Africa-ZAFMN,28-05-2018,668,279,3737
71030-Telefonica Nicaragua-NICMS,28-05-2018,5,2,5
71401-Cable & Wireless-PANCW,28-05-2018,18,3,7
71402-Telefonica Moviles-PANMS,28-05-2018,5,0,1
71606-Telefonica Moviles-PERMO,28-05-2018,7,1,9
72207-Argentina Telefonica-ARGTM,28-05-2018,137,44,90
72234-Personal Telecom-ARGTP,28-05-2018,2339,758,495
72402-TIM Region 2 Rio Norte-BRARN,28-05-2018,278,58,602
72403-TIM Region 3 Sau Paulo-BRASP,28-05-2018,661,118,406
72404-TIM Region 1 Cellular Centro-BRACS,28-05-2018,343,256,534
72406-Vivo 2-BRAV2,28-05-2018,34,9,110
72410-Vivo 1-BRAV1,28-05-2018,304,215,161
72411-Vivo 3-BRAV3,28-05-2018,37,21,60
72423-Telemig - Brazil-BRATC,28-05-2018,21,6,101
73001-Entel Telefonia Movil -CHLMV,28-05-2018,261,89,72
73212-Telefonica Moviles-COLTM,28-05-2018,710,211,76
73801-Digicel Guyana-GUYUM,28-05-2018,3,3,37
74801-Antel-URYAN,28-05-2018,0,1,10
74807-Telefonica Moviles-URYTM,28-05-2018,6,1,5
90131-Orange France-AAZOR,28-05-2018,1,1,4
90137-Transatel-AAZTR,28-05-2018,314,1068,128
90140-Telekom Deutschland Global SIM-AAZTD,28-05-2018,13,23,8
20201-Cosmote Mobile Telecom-GRCCO,29-05-2018,121593,20690,20259
20205-Vodafone Greece-GRCPF,29-05-2018,589,66,203
20210-Stet Hellas Telecommunications-GRCSH,29-05-2018,27025,4912,3246
20404-Vodafone Netherlands-NLDLT,29-05-2018,18607,9719,870832
20408-KPN Tel Netherlands -NLDPT,29-05-2018,669037,159166,1014960
20412-Telfort-NLDTM,29-05-2018,5439,1040,1044
20416-T-Mobile Netherlands-NLDPN,29-05-2018,770978,126676,54127
20420-Orange Netherlands-NLDDT,29-05-2018,37,14,36
20601-Belgacom Mobile -BELTB,29-05-2018,29938,6534,5947
20610-Mobistar-BELMO,29-05-2018,176871,28048,97223
20620-Base-BELKO,29-05-2018,6639,687,744
20801-Orange France-FRAF1,29-05-2018,3245061,441584,527926
20810-SFR France-FRAF2,29-05-2018,0,0,24
20815-Free Mobile -FRAF5,29-05-2018,509146,81486,26695
20815-France Free Mobile-FRAFM,29-05-2018,509146,81486,26695
20820-Bouygues Telecom-FRAF3,29-05-2018,931948,107197,106223
21401-Vodafone Espaqa-ESPAT,29-05-2018,14187,2703,4112
21403-Amena-ESPRT,29-05-2018,1375046,177936,148568
21404-Xfera Moviles-ESPXF,29-05-2018,244574,36612,17678
21407-Telefonica Moviles-ESPTE,29-05-2018,46054,10139,107626
21421-Jazztel Spain -ESPJZ,29-05-2018,14090,2090,1746
21601-Pannon GSM-HUNH1,29-05-2018,90883,13243,9130
21630-Westel 900 GSM-HUNH2,29-05-2018,205342,37964,20869
21670-Vodafone Hungary-HUNVR,29-05-2018,559,100,194
21901-HT Mobile-HRVCN,29-05-2018,82066,9986,5571
21910-VIP Net GSM -HRVVI,29-05-2018,184,11,56
22001-Mobtel-YUGMT,29-05-2018,17,4,5
22003-Telekom Srbija-YUGTS,29-05-2018,25,4,27
22201-TIM Italy -ITASI,29-05-2018,521546,75168,58857
22210-Vodafone Omnitel-ITAOM,29-05-2018,16789,2971,4127
22288-Wind Italy-ITAWI,29-05-2018,666330,80945,75993
22299-Hutchinson 3G - Italy-ITAH3,29-05-2018,16796,2137,3302
22601-Mobifon -ROMMF,29-05-2018,8947,1345,2139
22603-Cosmorom-ROMCS,29-05-2018,214516,27104,13271
22610-Orange Romania-ROMMR,29-05-2018,740959,119465,58523
22801-Swisscom-CHEC1,29-05-2018,176403,34153,24107
22802-sunrise-CHEDX,29-05-2018,26390,5320,6026
22803-Orange Switzerland-CHEOR,29-05-2018,44271,9038,6197
23001-T-Mobile Czech-CZERM,29-05-2018,259386,30385,19527
23002-Eurotel Praha -CZEET,29-05-2018,1468,256,553
23003-Cesky Mobil -CZECM,29-05-2018,8729,1126,986
23101-Orange Slovakia-SVKGT,29-05-2018,83501,12943,7069
23102-Eurotel Bratislava-SVKET,29-05-2018,51226,8426,6372
23106-Telefonica o2-SVKO2,29-05-2018,127,28,107
23201-Mobilkom Austria-AUTPT,29-05-2018,42014,5353,8239
23203-T-Mobile Austria-AUTMM,29-05-2018,164973,32440,678269
23205-Connect -AUTCA,29-05-2018,976,114,721
23207-Tele Ring Telekom -AUTTR,29-05-2018,35371,5458,4279
23401-MCOM UK-GBRYC,29-05-2018,6040850,531409,175595
23403-Airtel-GBRAJ,29-05-2018,294,106,153
23418-Cloud 9-GBRC9,29-05-2018,57,13,194
23450-Jersey Telecoms -GBRJT,29-05-2018,12097,4541,235395
23455-Guernsey Telecom-GBRGT,29-05-2018,780,273,2550
23458-Manx Telecom-GBRMT,29-05-2018,4675,2913,216042
23801-Tele Danmark Mobil-DNKTD,29-05-2018,27884,6239,4600
23802-Sonofon -DNKDM,29-05-2018,166362,27916,269925
23806-Hi3G - Denmark-DNKHU,29-05-2018,439,62,156
23820-Telia Mobile (Denmark)-DNKIA,29-05-2018,202156,31480,12710
24001-Telia Mobitel (Sweden)-SWETR,29-05-2018,489743,70317,32026
24002-HI 3G-SWEHU,29-05-2018,290,62,120
24007-Tele2 AB-SWEIQ,29-05-2018,304843,46873,123194
24008-Vodafone Sweden-SWEEP,29-05-2018,197001,31607,354643
24010-Tele2-SWESM,29-05-2018,1,0,4
24042-Sweden Telenor-SWECN,29-05-2018,62,97,94555
24201-Telenor Mobil -NORTM,29-05-2018,570518,86293,121286
24202-NetCom-NORNC,29-05-2018,238807,34027,46858
24205-Telia Norge Norway-NORNN,29-05-2018,51193,7659,16220
24405-Radiolinja Finland-FINRL,29-05-2018,2130,310,591
24412-Finnish 2G-FIN2G,29-05-2018,4010,661,12893
24421-Elisa (2nd code)-FINES,29-05-2018,254,21,35
24491-Sonera Corporation-FINTF,29-05-2018,186264,30896,11398
24601-Omnitel Lithuania-LTUOM,29-05-2018,64300,10825,8104
24602-Bite GSM-LTUMT,29-05-2018,2,2,16
24603-Tele2-LTU03,29-05-2018,89974,16146,15320
24701-Latvian Mobile Telephone-LVALM,29-05-2018,78157,12794,7982
24702-Baltcom GSM -LVABC,29-05-2018,47281,6361,6136
24801-Estonian Mob Tel-ESTEM,29-05-2018,51297,9195,3957
24802-Radiolinja Estonia-ESTRE,29-05-2018,939,213,131
24803-Estonia Ritabell (Tele2)-ESTRB,29-05-2018,23554,2386,18223
25001-MTS-RUS01,29-05-2018,7604,4279,1631
25002-MegaFon -RUSNW,29-05-2018,5742,1409,1169
25099-VimpelCom-RUSBD,29-05-2018,14102,13879,15400
25501-Ukraine Mobile Communications-UKRUM,29-05-2018,31,6,6
25503-Kyvistar GSM-UKRKS,29-05-2018,6741,3990,2200
25506-Astelit LLC-UKRAS,29-05-2018,187,45,168
25901-Voxtel-MDAVX,29-05-2018,45,55,32
26001-Polkomtel -POLKM,29-05-2018,320449,34637,23265
26002-Era -POL02,29-05-2018,503180,65134,43967
26003-PTK Centeltel -POL03,29-05-2018,733640,94268,94800
26006-P4 - 3G Poland-POLP4,29-05-2018,1200,249,567
26201-T-Mobile Germany-DEUD1,29-05-2018,1471788,307313,944476
26202-Vodafone Germany-DEUD2,29-05-2018,14589,2359,5231
26203-Eplus -DEUE1,29-05-2018,13157,3379,8369
26207-O2 Germany-DEUE2,29-05-2018,47348,9983,17723
26601-Gibtel Telecommunications -GIBGT,29-05-2018,3049,357,381
26801-Vodafone Portugal-PRTTL,29-05-2018,4827,670,976
26803-Optimus -PRTOP,29-05-2018,116932,19039,9046
26806-TMN-PRTTM,29-05-2018,87962,14899,12165
27001-Luxembourg P&T-LUXPT,29-05-2018,41313,5211,44780
27077-Tango -LUXTG,29-05-2018,2645,568,406
27099-VOX Mobile - Luxembourg-LUXVM,29-05-2018,25652,2458,4317
27201-Vodafone Ireland-IRLEC,29-05-2018,4752,1505,30019
27202-O2 Ireland-IRLDF,29-05-2018,8679,2190,124694
27203-Meteor-IRLME,29-05-2018,657206,79210,39637
27205-Hutchinson 3G - Ireland-IRLH3,29-05-2018,13009,1560,4618
27401-Landssimi Islands -ISLPS,29-05-2018,1172,201,204
27402-TAL -ISLTL,29-05-2018,1232,166,477
27411-Nova Iceland-ISLK9,29-05-2018,7202,1224,1009
27411-Nova Efh-ISLNO,29-05-2018,7202,1224,1009
27601-AMC (Albanian Mobile) -ALBAM,29-05-2018,138,51,432
27602-Vodafone Albania-ALBVF,29-05-2018,0,0,2
27801-Vodafone Malta-MLTTL,29-05-2018,644,108,205
27821-Go Mobile -MLTGO,29-05-2018,4530,1277,1011
28001-Cyprus Telecommunications Author-CYPCT,29-05-2018,771,103,292
28010-Scancom (Cyprus)-CYPSC,29-05-2018,19338,3341,2764
28020-CYPRUS Primtel-CYPPT,29-05-2018,123,19,25
28202-Magticom-GEOMA,29-05-2018,4,0,2
28310-Orange-ARMOR,29-05-2018,70,15,20
28401-MobiTel AD Bulgaria-BGR01,29-05-2018,1543,291,361
28403-Bulgarian Telecom -  Bulgaria-BGRVA,29-05-2018,38488,5200,3936
28405-Globul - Cosmo Bulgaria -BGRCM,29-05-2018,294859,38974,22954
28601-Turkcell-TURTC,29-05-2018,103326,19832,7229
28603-IS TIM-TURIS,29-05-2018,7190,1338,718
28604-Aycell - Turkey-TURAC,29-05-2018,0,0,1
29340-SI-Mobil-SVNSM,29-05-2018,1025,173,412
29341-Mobitel Slovenia-SVNMT,29-05-2018,10634,1411,695
29364-T-2 d.o.o. Slovenia-SVNFT,29-05-2018,61,7,4
29401-Makedonski Telekomunikacii-MKDMM,29-05-2018,81,21,46
29502-VIAG Europlatform-LIEK9,29-05-2018,39,17,3
29502-VIAG Europlatform-LIEVE,29-05-2018,39,17,3
29505-Mobilkom-LIEMK,29-05-2018,66,95,2416
29702-T-Mobile Montenegro-MNETM,29-05-2018,0,0,25
30222-Telus Canada-CANTS,29-05-2018,51921,17407,10776
30237-Microcell (Fido)-CANMC,29-05-2018,3385,744,1637
30261-Bell Mobility-CANBM,29-05-2018,36673,10636,8152
30272-Rogers Wireless -CANRW,29-05-2018,20925,5495,8481
31017-Cingular (Pacific Bell Services)-USAPB,29-05-2018,1449,817,17758
31026-T-Mobile- USAW6-USAW6,29-05-2018,753503,336190,227432
31038-AT&T Mobility P.Rico Puerto Rico-PRIAT,29-05-2018,0,0,1
31038-AT&T Wireless-USAAT,29-05-2018,0,0,1
31041-Cingular (Genesis)-USACG,29-05-2018,1040975,304846,206271
31148-Verizon-USAVZ,29-05-2018,1,0,10
33402-Radiomovil-MEXTL,29-05-2018,12,8,23
33403-Mexico - Telefonica-MEXMS,29-05-2018,3,1,4
33405-Iusacell Mexico-MEXIU,29-05-2018,64,63,60
33805-Digicel Barbados Barbados-BRBDC,29-05-2018,370,174,274
33805-Digicel Mossel-JAMDC,29-05-2018,370,174,274
33818-C&W/Jamaica-JAMCW,29-05-2018,0,3,76
34001-Orange Caraïbe (FWI)-GLP01,29-05-2018,2060,295,197
34020-FWI Bouygues Telecom-FRAF4,29-05-2018,113,11,17
34260-C&W/Barbados-BRBCW,29-05-2018,1,1,5
34492-Antigua C&W-ATGCW,29-05-2018,182,48,23
34614-C&W/Cayman-CYMCW,29-05-2018,38,23,120
34857-CCT Boatphone - Virgin Islands-VGBCC,29-05-2018,19,2,4
35000-Bermuda Digital-BMUBD,29-05-2018,6,1,8
35211-Grenada-GRDCW,29-05-2018,0,0,4
35811-ST Lucia-LCACW,29-05-2018,9,3,2
36011-St Vincent - C & W-VCTCW,29-05-2018,0,0,7
36291-Setel NV (UTS Wireless Curacao)-ANTUT,29-05-2018,5,0,4
36439-BTC-BHSBH,29-05-2018,49,4,7
36584-Anguillia C&W-AIACW,29-05-2018,0,0,5
36611-Dominica - C & W-DMACW,29-05-2018,0,0,3
37001-Orange Dominican Republic-DOM01,29-05-2018,8,1,2
37413-Digicel Trinidad-TTODL,29-05-2018,3,1,32
40001-Azercell Telecom-AZEAC,29-05-2018,72,1,7
40002-Bakcell -AZEBC,29-05-2018,0,0,1
40004-Azerfon Azerbaijan-AZEAF,29-05-2018,2,0,1
40101-Kar-tel -KAZKT,29-05-2018,106,20,56
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,29-05-2018,5530,687,1266
40403-Airtel Bharti [Himachal Pradesh]-INDBL,29-05-2018,27,6,39
40404-Idea Cellular Delhi-INDID,29-05-2018,57,49,11
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,29-05-2018,2627,259,148
40407-Idea Cellular [Andhra Pradesh] I-IND07,29-05-2018,37,12,23
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,29-05-2018,47587,12220,6441
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,29-05-2018,5444,1573,383
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,29-05-2018,21,4,16
40416-Bharti Hexacom North East  India-IND16,29-05-2018,8,2,14
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,29-05-2018,12745,4191,1593
40422-Idea Cellular [Maharashtra] INDB-INDBO,29-05-2018,232,41,86
40424-Idea Cellular [Gujarat] INDBI - -INDBI,29-05-2018,35,5,6
40427-BPL Cellular [Maharashtra]-INDBM,29-05-2018,855,131,152
40430-Hutchison [Calcutta] INDCC - 404-INDCC,29-05-2018,976,376,144
40431-Airtel Bharti [Calcutta] INDMT --INDMT,29-05-2018,4218,1325,2116
40440-Airtel Bharti [Chennai] INDSC - -INDSC,29-05-2018,11024,2625,1973
40445-Airtel Bharti [Karnataka] INDJB -INDJB,29-05-2018,13126,3908,3178
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,29-05-2018,49,5,4
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,29-05-2018,10931,4762,2589
40456-Escotel [UP West]-INDEU,29-05-2018,20,3,5
40470-Airtel India [Rajasthan] INDH1-INDH1,29-05-2018,4970,1812,413
40490-Airtel Bharti [Maharashtra]-INDA2,29-05-2018,1619,328,2635
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,29-05-2018,11145,4198,10377
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,29-05-2018,865,356,267
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,29-05-2018,1460,401,416
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,29-05-2018,544,78,155
40496-Airtel Bharti [Haryana]-INDA5,29-05-2018,317,31,37
40497-Airtel Bharti [UP West] INDA6 - -INDA6,29-05-2018,419,50,119
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,29-05-2018,1164,284,403
40556-Bharti Airtel Assam India-IND15,29-05-2018,43,15,27
40579-Idea Cellular Mumbai -INDIM,29-05-2018,140,19,25
40585-Idea Cellular Chennai-INDIT,29-05-2018,0,0,6
40585-IDEA WEST BENGAL-INDIW,29-05-2018,0,0,6
41001-Mobilink-PAKMK,29-05-2018,6,1,18
41220-TDCA-AFGTD,29-05-2018,0,0,4
41301-Mobitel - Sri Lanka-LKA71,29-05-2018,134,27,20
41302-MTN Sri Lanka-LKADG,29-05-2018,3515,579,5371
41305-Bharti Airtel Lanka-LKAAT,29-05-2018,7,5,22
41501-FTML Lebanon-LBNFL,29-05-2018,20,4,3
41601-MTS Fastlink-JORFL,29-05-2018,0,0,1
41677-Mobilecom -JORMC,29-05-2018,0,0,1
41805-Asiacell - Iraq-IRQAC,29-05-2018,0,0,10
41820-Atheer - Iraq-IRQAT,29-05-2018,0,0,3
41903-Wataniya Telecom-KWTNM,29-05-2018,2313,732,140
41904-Viva Kuwait -KWTKT,29-05-2018,10,4,2
42001-Saudi Telephone Company-SAUAJ,29-05-2018,11238,1665,1333
42003-Etihad Etisalat - Saudi Arabia-SAUET,29-05-2018,23907,3894,1218
42202-GTO Oman-OMNGT,29-05-2018,63,5,13
42203-Oman Mobile - Oman-OMNNT,29-05-2018,33,2,1
42402-Etisalat-ARETC,29-05-2018,14062,3010,2893
42403-United Arab Emirates-AREDU,29-05-2018,2462,700,1021
42501-Partner Communication-ISR01,29-05-2018,37087,12110,65701
42502-Cellcom-ISRCL,29-05-2018,14084,4289,1734
42503-Pelephone, Israel-ISRPL,29-05-2018,905,99,195
42601-Bahrain Telecommunications-BHRBT,29-05-2018,41,12,73
42701-Qatar Telekom -QATQT,29-05-2018,22625,4280,3316
43211-Iran TeleCom Co-IRN11,29-05-2018,105,76,61
44010-NTT DoCoMo-JPNDO,29-05-2018,12513,2186,3888
44020-J-Phone-JPNJP,29-05-2018,2275,181,276
44050-KDDI-JPNKD,29-05-2018,5564,1333,612
44051-KDDI Japan-JPNKI,29-05-2018,4166,909,439
45005-SK Korea-KORSK,29-05-2018,10836,2547,4978
45006-LG U+ South Korea-KORLU,29-05-2018,7526,1322,977
45008-KT Freetel 3G-KORKF,29-05-2018,3935,1071,829
45202-GPC Vietnam-VNMVI,29-05-2018,0,0,4
45400-Hong Kong CSL -HKGTC,29-05-2018,9895,2586,939
45403-Hutchison 3G (Hong Kong)-HKGH3,29-05-2018,1683,570,473
45406-SmarTone Mobile Hong Kong-HKGSM,29-05-2018,25638,7488,2149
45412-Peoples Telephone Company -HKGPP,29-05-2018,2321,596,204
45419-Sunday 3G - Hong Kong-HKGM3,29-05-2018,1885,553,165
46000-China Telecom-CHNCT,29-05-2018,83806,32659,11545
46001-China Unicom-CHNCU,29-05-2018,16590,7005,5218
46002-China Mobile - China-CHNCM,29-05-2018,10598,3517,1404
46007-China Mobile 3rd-CHNTD,29-05-2018,3227,530,328
46601-Far EasTone Telecommunications-TWNFE,29-05-2018,111,41,9
46692-Chungwa Telecom LDM-TWNLD,29-05-2018,4239,1315,254
46697-Taiwan Cellular Corp-TWNPC,29-05-2018,2454,265,109
47001-GrameenPhone-BGDGP,29-05-2018,0,0,1
50216-DiGi Telecommunications -MYSMT,29-05-2018,8863,1967,6275
50219-Celcom-MYSCC,29-05-2018,430,39,49
50501-Telstra -AUSTA,29-05-2018,118368,29814,36501
50502-Optus Communications-AUSOP,29-05-2018,27455,8470,25180
51001-PT Satelindo Palapa-IDNSL,29-05-2018,65,4,17
51010-PT Telkomsel-IDNTS,29-05-2018,3396,1016,446
51502-Globe Telecom -PHLGT,29-05-2018,181,38,48
52000-Thailand, True Move-THACT,29-05-2018,1249,122,129
52003-AIS-THAWN,29-05-2018,185170,43324,11235
52005-Thailand DTAC-THADT,29-05-2018,1908,494,222
52018-Total Access Communications-THAWP,29-05-2018,0,0,1
52501-Singtel GSM 900-SGPST,29-05-2018,33661,8938,4823
52505-StarHub-SGPSH,29-05-2018,4849,868,475
53001-Vodafone New Zealand-NZLBS,29-05-2018,772,274,455
53005-Telecom-NZLTM,29-05-2018,19477,5492,5353
53024-NZ Communications-NZLNH,29-05-2018,986,846,458
60201-Mobilnil-EGYAR,29-05-2018,3084,1137,1008
60203-Etisalat - Egypt-EGYEM,29-05-2018,172,198,49
60303-Wataniya-DZAWT,29-05-2018,1,1,8
60400-Medi Telecom-MARMT,29-05-2018,275,91,243
60401-IAM-MARM1,29-05-2018,83,6,11
61101-Orange-GINGS,29-05-2018,4,7,11
61203-Orange Cote d'Ivoire-CIV03,29-05-2018,0,0,1
61701-Cellplus Mobile Communications-MUSCP,29-05-2018,2,1,10
61807-Celcom Telecom - Liberia-LBR07,29-05-2018,0,0,1
61901-Celtel (SL) Limited-SLECT,29-05-2018,0,0,1
62001-Scancom -GHASC,29-05-2018,359,40,171
62006-Airtel Ghana-GHAZN,29-05-2018,0,3,200
62130-MTN-NGAMN,29-05-2018,1512,965,4769
62150-Globacom - Nigeria-NGAGM,29-05-2018,21,7,20
62160-Etisalat Nigeria-NGAEM,29-05-2018,411,110,13267
62402-Orange Cameroon-CMR02,29-05-2018,1,1,2
62803-Celtel Gabon-GABCT,29-05-2018,69,24,6
63001-Vodacom Congo (Democratic)-CODVC,29-05-2018,1,0,3
63102-Unitel-AGOUT,29-05-2018,0,0,25
63510-Rwandacell - Rwanda-RWAMN,29-05-2018,0,2,54
63902-Safaricom -KENSA,29-05-2018,127,19,282
64005-Celtel Tanzania-TZACT,29-05-2018,0,0,37
64101-Celtel Uganda-UGACE,29-05-2018,0,3,393
64110-MTN-UGAMN,29-05-2018,14,3,12
64501-Celtel Zambia-ZMBCE,29-05-2018,1,0,5
64602-SMM - Madagascar-MDGAN,29-05-2018,0,1,51
64804-Econet-ZWEET,29-05-2018,2,4,82
65202-Orange Botswana-BWAVC,29-05-2018,1,0,5
65501-Vodacom South Africa-ZAFVC,29-05-2018,33,0,5
65507-Cell C-ZAFCC,29-05-2018,81,13,9
65510-MTN South Africa-ZAFMN,29-05-2018,928,275,4159
71401-Cable & Wireless-PANCW,29-05-2018,3,0,8
71402-Telefonica Moviles-PANMS,29-05-2018,0,0,1
71606-Telefonica Moviles-PERMO,29-05-2018,0,0,2
72207-Argentina Telefonica-ARGTM,29-05-2018,113,13,113
72231-AMX Argentina-ARGCM,29-05-2018,0,0,2
72234-Personal Telecom-ARGTP,29-05-2018,1443,444,421
72402-TIM Region 2 Rio Norte-BRARN,29-05-2018,101,58,534
72403-TIM Region 3 Sau Paulo-BRASP,29-05-2018,430,78,391
72404-TIM Region 1 Cellular Centro-BRACS,29-05-2018,415,125,749
72406-Vivo 2-BRAV2,29-05-2018,49,9,77
72410-Vivo 1-BRAV1,29-05-2018,764,151,248
72411-Vivo 3-BRAV3,29-05-2018,166,42,113
72423-Telemig - Brazil-BRATC,29-05-2018,63,32,67
72431-TNL (Oi)-BRATM,29-05-2018,0,0,1
