imsi,date,recordcount
21902-Tele2  (Croatia)-HRVT2,23-05-2018,245
21910-VIP Net GSM -HRVVI,23-05-2018,43
22001-Mobtel-YUGMT,23-05-2018,20
22003-Telekom Srbija-YUGTS,23-05-2018,300
22201-TIM Italy -ITASI,23-05-2018,19586
22210-Vodafone Omnitel-ITAOM,23-05-2018,1338
22288-Wind Italy-ITAWI,23-05-2018,17908
22299-Hutchinson 3G - Italy-ITAH3,23-05-2018,885
22601-Mobifon -ROMMF,23-05-2018,1301
22603-Cosmorom-ROMCS,23-05-2018,20377
22610-Orange Romania-ROMMR,23-05-2018,79331
22801-Swisscom-CHEC1,23-05-2018,13647
22802-sunrise-CHEDX,23-05-2018,6740
22803-Orange Switzerland-CHEOR,23-05-2018,5357
23001-T-Mobile Czech-CZERM,23-05-2018,18086
23002-Eurotel Praha -CZEET,23-05-2018,382
23003-Cesky Mobil -CZECM,23-05-2018,870
23101-Orange Slovakia-SVKGT,23-05-2018,8692
23102-Eurotel Bratislava-SVKET,23-05-2018,5342
23106-Telefonica o2-SVKO2,23-05-2018,109
23201-Mobilkom Austria-AUTPT,23-05-2018,2660
23203-T-Mobile Austria-AUTMM,23-05-2018,5669
23205-Connect -AUTCA,23-05-2018,111
23207-Tele Ring Telekom -AUTTR,23-05-2018,1605
23403-Airtel-GBRAJ,23-05-2018,571
23410-02 UK-GBRCN,23-05-2018,101
23415-Vodafone UK-GBRVF,23-05-2018,65
23418-Cloud 9-GBRC9,23-05-2018,29
23420-3 UK-GBRHU,23-05-2018,33
23450-Jersey Telecoms -GBRJT,23-05-2018,3634
23455-Guernsey Telecom-GBRGT,23-05-2018,3341
23458-Manx Telecom-GBRMT,23-05-2018,10888
23801-Tele Danmark Mobil-DNKTD,23-05-2018,4923
23802-Sonofon -DNKDM,23-05-2018,8730
23806-Hi3G - Denmark-DNKHU,23-05-2018,37
23820-Telia Mobile (Denmark)-DNKIA,23-05-2018,6054
24001-Telia Mobitel (Sweden)-SWETR,23-05-2018,17186
24002-HI 3G-SWEHU,23-05-2018,23
24007-Tele2 AB-SWEIQ,23-05-2018,11259
24008-Vodafone Sweden-SWEEP,23-05-2018,7670
24042-Sweden Telenor-SWECN,23-05-2018,1
24201-Telenor Mobil -NORTM,23-05-2018,25185
24202-NetCom-NORNC,23-05-2018,10124
24205-Telia Norge Norway-NORNN,23-05-2018,2697
24405-Radiolinja Finland-FINRL,23-05-2018,161
24412-Finnish 2G-FIN2G,23-05-2018,411
24421-Elisa (2nd code)-FINES,23-05-2018,6
24491-Sonera Corporation-FINTF,23-05-2018,4598
24601-Omnitel Lithuania-LTUOM,23-05-2018,7614
24602-Bite GSM-LTUMT,23-05-2018,8
24603-Tele2-LTU03,23-05-2018,9923
24701-Latvian Mobile Telephone-LVALM,23-05-2018,8269
24702-Baltcom GSM -LVABC,23-05-2018,5735
24801-Estonian Mob Tel-ESTEM,23-05-2018,2286
24802-Radiolinja Estonia-ESTRE,23-05-2018,144
24803-Estonia Ritabell (Tele2)-ESTRB,23-05-2018,1026
25001-MTS-RUS01,23-05-2018,1458
25002-MegaFon -RUSNW,23-05-2018,1582
25099-VimpelCom-RUSBD,23-05-2018,2889
25501-Ukraine Mobile Communications-UKRUM,23-05-2018,55
25503-Kyvistar GSM-UKRKS,23-05-2018,986
25506-Astelit LLC-UKRAS,23-05-2018,53
25702-MTS Belarus-BLR02,23-05-2018,1
25901-Voxtel-MDAVX,23-05-2018,62
25902-Moldcell-MDAMC,23-05-2018,3
26001-Polkomtel -POLKM,23-05-2018,55491
26002-Era -POL02,23-05-2018,84811
26003-PTK Centeltel -POL03,23-05-2018,123316
26006-P4 - 3G Poland-POLP4,23-05-2018,133
26201-T-Mobile Germany-DEUD1,23-05-2018,63226
26202-Vodafone Germany-DEUD2,23-05-2018,1122
26203-Eplus -DEUE1,23-05-2018,1430
26207-O2 Germany-DEUE2,23-05-2018,2238
26601-Gibtel Telecommunications -GIBGT,23-05-2018,169
26801-Vodafone Portugal-PRTTL,23-05-2018,466
