imsi_prefix,date,Incoming data,Records count 
35611-St Kitts - C & W-KNACW,19-05-2018,0,4                                     
35811-ST Lucia-LCACW,19-05-2018,0,2                                             
36439-BTC-BHSBH,19-05-2018,2,4                                                  
36584-Anguillia C&W-AIACW,19-05-2018,0,2                                        
36611-Dominica - C & W-DMACW,19-05-2018,0,1                                     
37001-Orange Dominican Republic-DOM01,19-05-2018,36,3                           
37413-Digicel Trinidad-TTODL,19-05-2018,0,2                                     
37635-Turks & Calcos - C & W-TCACW,19-05-2018,0,3                               
40001-Azercell Telecom-AZEAC,19-05-2018,28,19                                   
40002-Bakcell -AZEBC,19-05-2018,2,4                                             
40101-Kar-tel -KAZKT,19-05-2018,33,18                                           
40102-K'Cell-KAZKZ,19-05-2018,1,2                                               
40402-Airtel Bharti [Punjab] INDA9 - 4-INDA9,19-05-2018,1140,449                
40403-Airtel Bharti [Himachal Pradesh]-INDBL,19-05-2018,419,26                  
40404-Idea Cellular Delhi-INDID,19-05-2018,53,9                                 
40405-Fascel Hutch [Gujarat] INDF1 - 4-INDF1,19-05-2018,1160,107                
40407-Idea Cellular [Andhra Pradesh] I-IND07,19-05-2018,86,10                   
40410-Airtel Bharti [Delhi] INDAT - 40-INDAT,19-05-2018,31518,3313              
40411-Hutchison Essar [Delhi] INDE1 - -INDE1,19-05-2018,1939,333                
40412-Escotel [Haryana] INDEH - 40412-INDEH,19-05-2018,28,3                     
40414-Spice Telecom [Punjab] INDSP - 4-INDSP,19-05-2018,82,19                   
40419-Escotel [Kerala] INDEK - 40419-INDEK,19-05-2018,22,10                     
40420-Hutchison Max [Mumbai] INDHM - 4-INDHM,19-05-2018,9187,1125               
40422-Idea Cellular [Maharashtra] INDB-INDBO,19-05-2018,434,45                  
40424-Idea Cellular [Gujarat] INDBI - -INDBI,19-05-2018,132,11                  
40427-BPL Cellular [Maharashtra]-INDBM,19-05-2018,416,112                       
40430-Hutchison [Calcutta] INDCC - 404-INDCC,19-05-2018,455,135                 
40431-Airtel Bharti [Calcutta] INDMT --INDMT,19-05-2018,2507,1007               
40440-Airtel Bharti [Chennai] INDSC - -INDSC,19-05-2018,10577,1254              
40443-BPL Cellular [Tamil Nadu] INDBT--INDBT,19-05-2018,42,20                   
40444-Spice Telekom [Karnataka] INDSK -INDSK,19-05-2018,244,19                  
40445-Airtel Bharti [Karnataka] INDJB -INDJB,19-05-2018,18776,2422              
40446-BPL Cellular [Kerala] INDBK - 40-INDBK,19-05-2018,147,16                  
40449-Airtel Bharti [Andhra Pradesh] I-INDJH,19-05-2018,8247,1272               
40470-Airtel India [Rajasthan] INDH1-INDH1,19-05-2018,2672,235                  
40490-Airtel Bharti [Maharashtra]-INDA2,19-05-2018,2841,1893                    
40492-Airtel Bharti [Mumbai] INDA1 - 4-INDA1,19-05-2018,13422,7968              
40493-Airtel Bharti [Madhya Pradesh] I-INDA8,19-05-2018,538,109                 
40494-Airtel Bharti [Tamilnadu] INDA4-INDA4,19-05-2018,1461,323                 
40495-Airtel Bharti [Kerala] INDA7 - 4-INDA7,19-05-2018,812,86                  
40496-Airtel Bharti [Haryana]-INDA5,19-05-2018,424,55                           
40497-Airtel Bharti [UP West] INDA6 - -INDA6,19-05-2018,226,75                  
40498-Airtel Bharti [Gujarat] INDA3 --INDA3,19-05-2018,259,257                  
40556-Bharti Airtel Assam India-IND15,19-05-2018,50,4                           
40579-Idea Cellular Mumbai -INDIM,19-05-2018,38,5                               
41001-Mobilink-PAKMK,19-05-2018,52,10                                           
41003-Ufone Pakistan-PAKUF,19-05-2018,18,1                                      
41220-TDCA-AFGTD,19-05-2018,0,3                                                 
41301-Mobitel - Sri Lanka-LKA71,19-05-2018,813,25                               
41302-MTN Sri Lanka-LKADG,19-05-2018,3930,374                                   
41305-Bharti Airtel Lanka-LKAAT,19-05-2018,2,363                                
41501-FTML Lebanon-LBNFL,19-05-2018,92,17                                       
41503-Libancell -LBNLC,19-05-2018,2,2                                           
41805-Asiacell - Iraq-IRQAC,19-05-2018,1,3                                      
41840-Korek Telecom LTD - Iraq-IRQKK,19-05-2018,1,4                             
